id,Y
49999,0.9324911832809448
50000,0.9911304116249084
50001,0.9931867122650146
50002,0.9561055302619934
50003,0.9092929363250732
50004,0.826308012008667
50005,0.961531400680542
50006,0.963458240032196
50007,0.9660460948944092
50008,0.8393324017524719
50009,0.9745430946350098
50010,0.9033896923065186
50011,0.9850314259529114
50012,0.9177097082138062
50013,0.9645311236381531
50014,0.9572468996047974
50015,0.987106204032898
50016,0.9530643820762634
50017,0.9240496754646301
50018,0.8512431383132935
50019,0.9618138670921326
50020,0.9561402797698975
50021,0.9599117040634155
50022,0.9804527163505554
50023,0.9796934723854065
50024,0.9631669521331787
50025,0.9734406471252441
50026,0.8939684629440308
50027,0.9842813014984131
50028,0.9806883335113525
50029,0.8331860303878784
50030,0.7971761226654053
50031,0.9602577686309814
50032,0.9813908934593201
50033,0.9881054162979126
50034,0.9116129279136658
50035,0.9839149713516235
50036,0.9497413039207458
50037,0.9864522218704224
50038,0.9788260459899902
50039,0.9631142616271973
50040,0.873785674571991
50041,0.9836510419845581
50042,0.8525307178497314
50043,0.8814288377761841
50044,0.9778675436973572
50045,0.9804553985595703
50046,0.9904641509056091
50047,0.9370934963226318
50048,0.9849807620048523
50049,0.9461670517921448
50050,0.986556887626648
50051,0.784857988357544
50052,0.9881664514541626
50053,0.9718794226646423
50054,0.9332014918327332
50055,0.9765220284461975
50056,0.9869723320007324
50057,0.8617652058601379
50058,0.9291582703590393
50059,0.9913803339004517
50060,0.988978922367096
50061,0.9878484606742859
50062,0.9593267440795898
50063,0.9805137515068054
50064,0.947314977645874
50065,0.6732463836669922
50066,0.970985472202301
50067,0.9115201234817505
50068,0.9886128306388855
50069,0.9839768409729004
50070,0.9288586378097534
50071,0.8512956500053406
50072,0.9705224633216858
50073,0.9750133752822876
50074,0.952934980392456
50075,0.938423752784729
50076,0.9896421432495117
50077,0.9889781475067139
50078,0.9918299317359924
50079,0.9271019697189331
50080,0.9536979794502258
50081,0.6130040287971497
50082,0.9728151559829712
50083,0.9779165983200073
50084,0.8777847290039062
50085,0.9853610396385193
50086,0.9881494045257568
50087,0.896941602230072
50088,0.6547228097915649
50089,0.9851601719856262
50090,0.874436616897583
